2.8, 1.8, 0.800, 0, 0, 0
2.8, 1.8, 0.802, 0, 0, 0
2.8, 1.8, 0.804, 0, 0, 0
2.8, 1.8, 0.806, 0, 0, 0
2.8, 1.8, 0.808, 0, 0, 0
2.8, 1.8, 0.810, 0, 0, 0
2.8, 1.8, 0.812, 0, 0, 0
2.8, 1.8, 0.814, 0, 0, 0
2.8, 1.8, 0.816, 0, 0, 0
2.8, 1.8, 0.818, 0, 0, 0
2.8, 1.8, 0.820, 0, 0, 0
2.8, 1.8, 0.822, 0, 0, 0
2.8, 1.8, 0.824, 0, 0, 0
2.8, 1.8, 0.826, 0, 0, 0
2.8, 1.8, 0.828, 0, 0, 0
2.8, 1.8, 0.830, 0, 0, 0
2.8, 1.8, 0.832, 0, 0, 0
2.8, 1.8, 0.834, 0, 0, 0
2.8, 1.8, 0.836, 0, 0, 0
2.8, 1.8, 0.838, 0, 0, 0
2.8, 1.8, 0.840, 0, 0, 0